FID	NAME	VALUE
201	CTime2	40.81
201	CTime1	19.54
202	CTime2	41.05
202	CTime1	20.82
202	CTime3	20.82
203	CTime2	42.12
203	CTime1	19.20
203	CTime3	19.20
204	CTime3	20.48
204	CTime1	20.48
204	CTime2	41.79
205	CTime2	40.60
205	CTime1	19.43
205	CTime3	19.43
206	CTime1	20.39
206	CTime2	62.41
206	CTime3	20.87
207	CTime2	62.37
207	CTime1	19.38
207	CTime3	19.38
208	CTime1	21.08
208	CTime2	41.16
208	CTime3	21.08
209	CTime2	41.27
209	CTime1	19.50
209	CTime3	19.50
210	CTime1	21.48
210	CTime2	41.66
210	CTime3	21.48
211	CTime3	19.54
211	CTime1	19.54
211	CTime2	41.70
212	CTime3	20.68
212	CTime2	40.91
212	CTime1	20.68
213	CTime3	19.19
213	CTime1	19.19
213	CTime2	40.56
214	CTime3	20.65
214	CTime1	20.64
214	CTime2	40.52
215	CTime1	19.48
215	CTime2	40.82
215	CTime3	19.48
216	CTime3	21.07
216	CTime1	20.58
216	CTime2	42.89
217	CTime3	19.56
217	CTime2	42.95
217	CTime1	19.56
218	CTime1	20.88
218	CTime2	41.11
218	CTime3	20.88
219	CTime3	19.44
219	CTime1	19.44
219	CTime2	40.99
220	CTime3	21.13
220	CTime1	20.65
220	CTime2	185.44
221	CTime3	20.12
221	CTime2	186.73
221	CTime1	19.64
222	CTime3	20.63
222	CTime1	20.63
222	CTime2	42.05
223	CTime3	19.69
223	CTime1	19.21
223	CTime2	42.61
224	CTime2	42.66
224	CTime1	20.66
224	CTime3	20.66
225	CTime3	20.05
225	CTime2	41.42
225	CTime1	19.57
226	CTime3	20.64
226	CTime2	41.39
226	CTime1	20.64
227	CTime3	19.94
227	CTime2	41.27
227	CTime1	19.53
228	CTime1	20.46
228	CTime2	41.08
228	CTime3	20.46
229	CTime2	65.49
229	CTime1	18.89
229	CTime3	18.89
230	CTime3	21.01
230	CTime2	66.05
230	CTime1	21.01
231	CTime1	19.46
231	CTime2	41.17
231	CTime3	19.46
232	CTime3	20.62
232	CTime2	40.78
232	CTime1	20.62
233	CTime3	19.53
233	CTime1	19.52
233	CTime2	40.83
234	CTime2	551.31
234	CTime1	20.12
234	CTime3	20.12
235	CTime2	551.16
235	CTime1	19.37
235	CTime3	19.37
236	CTime3	20.58
236	CTime1	20.58
236	CTime2	40.64
237	CTime1	19.44
237	CTime2	40.70
237	CTime3	19.44
238	CTime3	20.66
238	CTime1	20.66
238	CTime2	40.78
239	CTime3	19.47
239	CTime1	19.46
239	CTime2	40.81
240	CTime3	20.58
240	CTime1	20.58
240	CTime2	40.73
241	CTime3	19.44
241	CTime2	40.69
241	CTime1	19.44
242	CTime3	20.67
242	CTime2	40.78
242	CTime1	20.67
243	CTime3	19.03
243	CTime1	19.03
243	CTime2	41.80
244	CTime3	20.68
244	CTime2	41.81
244	CTime1	20.68
245	CTime3	19.42
245	CTime1	19.42
245	CTime2	40.79
246	CTime3	20.70
246	CTime1	20.70
246	CTime2	40.82
247	CTime3	19.47
247	CTime2	40.86
247	CTime1	19.47
248	CTime1	20.61
248	CTime2	40.77
248	CTime3	20.61
249	CTime3	19.36
249	CTime1	19.36
249	CTime2	40.66
250	CTime2	44.88
250	CTime1	24.85
250	CTime3	24.85
251	CTime3	19.58
251	CTime1	19.58
251	CTime2	45.10
252	CTime1	20.47
252	CTime2	40.73
252	CTime3	20.47
253	CTime2	40.72
253	CTime1	19.57
253	CTime3	19.57
254	CTime3	20.71
254	CTime2	40.97
254	CTime1	20.71
255	CTime3	19.55
255	CTime2	40.95
255	CTime1	19.55
256	CTime3	20.59
256	CTime2	40.84
256	CTime1	20.59
257	CTime3	19.50
257	CTime2	40.79
257	CTime1	19.50
258	CTime1	20.57
258	CTime2	40.76
258	CTime3	20.57
259	CTime2	40.77
259	CTime1	19.52
259	CTime3	19.53
260	CTime3	20.64
260	CTime2	40.85
260	CTime1	20.64
261	CTime2	40.85
261	CTime1	19.52
261	CTime3	19.52
262	CTime3	20.58
262	CTime2	40.78
262	CTime1	20.58
263	CTime2	41.76
263	CTime1	19.08
263	CTime3	19.08
264	CTime2	41.73
264	CTime1	20.54
264	CTime3	20.54
265	CTime2	40.75
265	CTime1	19.51
265	CTime3	19.52
266	CTime3	21.64
266	CTime2	162.20
266	CTime1	21.14
267	CTime3	19.41
267	CTime2	162.10
267	CTime1	19.41
268	CTime2	39.52
268	CTime1	19.43
268	CTime3	19.43
269	CTime1	19.39
269	CTime2	39.49
269	CTime3	19.39
270	CTime3	20.41
270	CTime2	40.49
270	CTime1	20.41
271	CTime3	19.52
271	CTime2	40.63
271	CTime1	19.52
272	CTime2	40.77
272	CTime1	20.55
272	CTime3	20.55
273	CTime2	40.72
273	CTime1	19.48
273	CTime3	19.48
274	CTime3	20.58
274	CTime2	40.73
274	CTime1	20.58
275	CTime2	40.76
275	CTime1	19.49
275	CTime3	19.49
276	CTime1	41.00
276	CTime2	65.35
276	CTime3	41.48
277	CTime2	69.27
277	CTime1	23.39
277	CTime3	23.39
278	CTime3	20.80
278	CTime2	44.90
278	CTime1	20.80
279	CTime3	20.78
279	CTime1	20.78
279	CTime2	42.26
280	CTime3	21.13
280	CTime2	42.60
280	CTime1	21.13
281	CTime3	20.94
281	CTime2	42.77
281	CTime1	20.94
282	CTime2	42.59
282	CTime1	20.95
282	CTime3	20.95
285	CTime3	37.69
285	CTime1	36.74
285	CTime2	89.63
286	CTime2	126.97
286	CTime1	36.94
286	CTime3	36.96
287	CTime1	20.38
287	CTime2	341.14
287	CTime3	20.38
288	CTime3	22.60
288	CTime1	22.60
288	CTime2	401.42
289	CTime2	44.41
289	CTime1	21.12
289	CTime3	21.12
290	CTime2	45.58
290	CTime1	23.77
290	CTime3	23.77
291	CTime3	21.08
291	CTime1	21.08
291	CTime2	45.54
292	CTime2	43.43
292	CTime1	21.67
292	CTime3	21.67
293	CTime2	43.38
293	CTime1	21.04
293	CTime3	21.04
294	CTime3	21.54
294	CTime2	43.25
294	CTime1	21.53
295	CTime3	21.09
295	CTime2	43.30
295	CTime1	21.09
296	CTime1	22.34
296	CTime2	44.10
296	CTime3	22.34
297	CTime2	44.23
297	CTime1	21.22
297	CTime3	21.22
299	CTime3	23.39
299	CTime1	23.39
299	CTime2	45.29
301	CTime3	21.13
301	CTime2	45.20
301	CTime1	21.13
302	CTime3	21.58
302	CTime1	21.58
302	CTime2	43.40
303	CTime3	20.99
303	CTime2	43.26
303	CTime1	20.99
304	CTime2	43.41
304	CTime1	21.73
304	CTime3	21.73
305	CTime3	21.04
305	CTime1	21.04
305	CTime2	43.45
306	CTime1	21.90
306	CTime2	43.62
306	CTime3	21.90
307	CTime2	44.65
307	CTime1	20.65
307	CTime3	20.66
308	CTime3	23.81
308	CTime1	23.81
308	CTime2	46.55
309	CTime2	45.58
309	CTime1	21.09
309	CTime3	21.09
310	CTime1	21.72
310	CTime2	43.50
310	CTime3	21.72
312	CTime3	23.37
312	CTime1	23.37
312	CTime2	45.79
314	CTime3	21.80
314	CTime2	45.87
314	CTime1	21.79
315	CTime2	45.19
315	CTime1	22.70
315	CTime3	22.70
316	CTime3	21.39
316	CTime2	44.77
316	CTime1	21.39
317	CTime3	20.98
317	CTime2	43.03
317	CTime1	20.98
318	CTime2	43.06
318	CTime1	21.40
318	CTime3	21.40
319	CTime2	205.58
319	CTime1	20.85
319	CTime3	21.28
320	CTime2	248.66
320	CTime1	21.00
320	CTime3	21.00
321	CTime1	21.52
321	CTime2	43.20
321	CTime3	21.52
322	CTime1	20.88
322	CTime2	43.10
322	CTime3	20.88
323	CTime2	43.06
323	CTime1	21.49
323	CTime3	21.49
324	CTime2	45.69
324	CTime1	23.52
324	CTime3	23.52
325	CTime2	45.52
325	CTime1	21.32
325	CTime3	21.32
326	CTime3	21.10
326	CTime2	43.10
326	CTime1	21.10
327	CTime3	21.38
327	CTime2	43.18
327	CTime1	21.38
328	CTime3	21.19
328	CTime1	21.19
328	CTime2	43.26
329	CTime3	21.12
329	CTime2	44.53
329	CTime1	21.12
330	CTime1	20.96
330	CTime2	44.31
330	CTime3	20.96
331	CTime2	43.10
331	CTime1	21.44
331	CTime3	21.45
332	CTime2	44.82
332	CTime1	21.25
332	CTime3	21.68
333	CTime1	21.59
333	CTime2	44.97
333	CTime3	21.60
334	CTime1	21.20
334	CTime2	43.49
334	CTime3	21.20
335	CTime1	21.53
335	CTime2	43.42
335	CTime3	21.54
336	CTime3	21.32
336	CTime1	20.89
336	CTime2	105.56
337	CTime1	21.21
337	CTime2	105.25
337	CTime3	21.21
338	CTime1	21.11
338	CTime2	43.04
338	CTime3	21.11
339	CTime2	43.47
339	CTime1	21.64
339	CTime3	21.64
340	CTime3	21.11
340	CTime1	21.11
340	CTime2	43.46
341	CTime3	21.45
341	CTime2	43.26
341	CTime1	21.45
342	CTime3	21.08
342	CTime2	43.20
342	CTime1	21.08
343	CTime3	21.51
343	CTime2	43.28
343	CTime1	21.51
344	CTime3	20.99
344	CTime2	43.19
344	CTime1	20.99
345	CTime1	21.58
345	CTime2	43.25
345	CTime3	21.58
346	CTime2	43.41
346	CTime1	21.16
346	CTime3	21.16
347	CTime2	43.18
347	CTime1	21.35
347	CTime3	21.35
348	CTime1	22.67
348	CTime2	44.69
348	CTime3	22.67
349	CTime1	21.14
349	CTime2	46.02
349	CTime3	21.14
350	CTime2	255.81
350	CTime1	20.88
350	CTime3	21.31
351	CTime1	21.49
351	CTime2	254.61
351	CTime3	21.49
352	CTime1	21.13
352	CTime2	43.29
352	CTime3	21.13
353	CTime2	43.26
353	CTime1	21.45
353	CTime3	21.45
354	CTime3	21.07
354	CTime2	43.20
354	CTime1	21.07
355	CTime3	21.53
355	CTime1	21.53
355	CTime2	43.28
356	CTime1	21.16
356	CTime2	43.37
356	CTime3	21.16
357	CTime3	21.52
357	CTime2	43.34
357	CTime1	21.51
358	CTime3	21.09
358	CTime2	43.29
358	CTime1	21.09
359	CTime2	43.18
359	CTime1	21.39
359	CTime3	21.39
360	CTime2	43.21
360	CTime1	21.13
360	CTime3	21.13
361	CTime2	43.64
361	CTime1	21.82
361	CTime3	21.82
362	CTime3	21.14
362	CTime1	21.14
362	CTime2	43.67
363	CTime1	20.86
363	CTime2	62.67
363	CTime3	20.86
364	CTime2	62.54
364	CTime1	21.01
364	CTime3	21.01
365	CTime3	21.38
365	CTime1	21.38
365	CTime2	43.11
366	CTime1	21.19
366	CTime2	43.27
366	CTime3	21.19
367	CTime1	21.52
367	CTime2	43.38
367	CTime3	21.52
368	CTime3	21.11
368	CTime1	21.11
