FNAME	FID
20161208002432806+-+01+-+1+-+1+-+297191+-+YEP0PTD000NH|00|A|101634201702|01+-+3+-++-+YEP0PTD000NH|00|A|101634201702|01.U01	57
20161208011751994+-+01+-+1+-+2+-+297227+-+YEP0PTD000SH|00|A|101634201868|01+-+3+-++-+YEP0PTD000SH|00|A|101634201868|01.U01	77
20161208002618063+-+01+-+1+-+2+-+297201+-+YEP0PTD000NH|00|A|101634201697|01+-+3+-++-+YEP0PTD000NH|00|A|101634201697|01.U01	62
20161208002514689+-+01+-+1+-+1+-+297195+-+YEP0PTD000NH|00|A|101634201700|01+-+3+-++-+YEP0PTD000NH|00|A|101634201700|01.U01	59
20161208002305993+-+01+-+1+-+1+-+297183+-+YEP0PTD000NH|00|A|101634201635|01+-+3+-++-+YEP0PTD000NH|00|A|101634201635|01.U01	53
20161208001756220+-+01+-+1+-+2+-+297161+-+YEP0PTD000NH|00|A|101634201646|01+-+3+-++-+YEP0PTD000NH|00|A|101634201646|01.U01	42
20161208000211878+-+01+-+1+-+1+-+297091+-+YEP0PTD000NH|00|A|101634201684|01+-+3+-++-+YEP0PTD000NH|00|A|101634201684|01.U01	7
20161208011730268+-+01+-+1+-+1+-+297225+-+YEP0PTD000SH|00|A|101634201865|01+-+3+-++-+YEP0PTD000SH|00|A|101634201865|01.U01	76
20161208001401326+-+01+-+1+-+1+-+297139+-+YEP0PTD000NH|00|A|101634201604|01+-+3+-++-+YEP0PTD000NH|00|A|101634201604|01.U01	31
20161208014442209+-+01+-+1+-+2+-+297323+-+YEP0PTD000SH|00|A|101634202013|01+-+3+-++-+YEP0PTD000SH|00|A|101634202013|01.U01	129
20161208013957053+-+01+-+1+-+1+-+297297+-+YEP0PTD000SH|00|A|101634201898|01+-+3+-++-+YEP0PTD000SH|00|A|101634201898|01.U01	116
20161208015712326+-+01+-+1+-+1+-+297393+-+YEP0PTD000SH|00|A|101634201957|01+-+3+-++-+YEP0PTD000SH|00|A|101634201957|01.U01	166
20161208020704198+-+01+-+1+-+2+-+297443+-+YEP0PTD000SH|00|A|101634201933|01+-+3+-++-+YEP0PTD000SH|00|A|101634201933|01.U01	193
20161208013813546+-+01+-+1+-+2+-+297287+-+YEP0PTD000SH|00|A|101634201903|01+-+3+-++-+YEP0PTD000SH|00|A|101634201903|01.U01	111
20161208015529691+-+01+-+1+-+2+-+297383+-+YEP0PTD000SH|00|A|101634201951|01+-+3+-++-+YEP0PTD000SH|00|A|101634201951|01.U01	161
20161208014241463+-+01+-+1+-+1+-+297313+-+YEP0PTD000SH|00|A|101634201888|01+-+3+-++-+YEP0PTD000SH|00|A|101634201888|01.U01	124
20161208020542580+-+01+-+1+-+2+-+297435+-+YEP0PTD000SH|00|A|101634201929|01+-+3+-++-+YEP0PTD000SH|00|A|101634201929|01.U01	189
20161208013636240+-+01+-+1+-+2+-+297279+-+YEP0PTD000SH|00|A|101634201907|01+-+5+-++-+YEP0PTD000SH|00|A|101634201907|01.U01	106
20161208014119938+-+01+-+1+-+1+-+297305+-+YEP0PTD000SH|00|A|101634201892|01+-+3+-++-+YEP0PTD000SH|00|A|101634201892|01.U01	120
20161208014746501+-+01+-+1+-+1+-+297341+-+YEP0PTD000SH|00|A|101634202004|01+-+3+-++-+YEP0PTD000SH|00|A|101634202004|01.U01	138
20161208020744958+-+01+-+1+-+2+-+297447+-+YEP0PTD000SH|00|A|101634201935|01+-+3+-++-+YEP0PTD000SH|00|A|101634201935|01.U01	195
20161208015933692+-+01+-+1+-+1+-+297405+-+YEP0PTD000SH|00|A|101634201963|01+-+3+-++-+YEP0PTD000SH|00|A|101634201963|01.U01	172
